className	ReadingEase	ReadingEase(NL)	CodeElementRatio	QuestionRatio	StopwordRatio	StopKeyRatio	ConceptualSimilarity	AuthorCommitsFile	CommittedTwice	TotalAuthoredCommits	ReviewingTwice	ReviewedCommitsFile	TotalReviewedCommits	ReviewedPRs	ExtLibSimilarity	sentimoji
u	66.965	86.16816092	0.058823529	0.333333333	0.529411765	0.529411765	0.115953102	8	1	1366	1	6	63184	26263	0.571651824	0.0
u	68.06618421	98.67808824	0.2	0.5	0.48	0.52	0.145453932	11	1	5088	1	35	63159	26243	0.0	0.0
u	72.61545455	100.0	0.4	1.0	0.4	0.4	0.2	0	0	61	1	35	63159	26243	0.0	0.0
u	52.265	67.53	0.2	0.0	0.5	0.5	0.271148426	5	1	1	1	21	63157	26241	0.0	0.0
u	76.32192308	79.94	0.071428571	0.0	0.5	0.5	0.0	5	1	1	1	35	63157	26241	0.0	0.0
u	89.865	89.865	0.0	1.0	0.52173913	0.52173913	0.143739894	0	0	61	1	18	63095	26196	0.510631013	0.0
u	67.53	74.805	0.2	1.0	0.533333333	0.6	0.0	0	0	61	1	14	63095	26196	0.713059803	0.0
u	100.0	100.0	0.045454545	1.0	0.590909091	0.590909091	0.627859972	3	1	972	1	48	63090	26191	0.0	0.0
u	56.97846154	56.97846154	0.076923077	0.0	0.692307692	0.692307692	0.127656948	1	1	1	1	57	63088	26189	0.0	0.0
u	99.52771739	99.52771739	0.04	0.5	0.64	0.68	0.306047795	0	0	61	1	2	63068	26174	0.0	0.0
u	74.97506579	77.6825	0.018867925	0.0	0.622641509	0.650943396	0.0	0	0	61	1	11	63068	26174	0.0	0.0
u	43.93	57.92243902	0.166666667	0.0	0.518518519	0.592592593	0.0	2	1	220	1	9	67035	26767	0.0	0.0
u	85.07411765	92.91	0.170731707	0.5	0.512195122	0.512195122	0.0	2	1	220	1	9	67035	26767	0.0	1.0
u	97.73469697	97.73469697	0.02173913	0.666666667	0.586956522	0.608695652	0.203629205	0	0	1	1	12	63232	26186	0.5140989	0.0
u	88.60784884	88.60784884	0.022222222	0.5	0.488888889	0.533333333	0.312413003	0	0	1	1	12	63232	26186	0.5140989	0.0
u	74.59	74.59	0.013157895	0.75	0.539473684	0.552631579	0.189099789	0	0	1	1	12	63232	26186	0.5140989	0.0
u	62.87631579	62.87631579	0.052631579	0.0	0.578947368	0.578947368	0.035043832	4	1	972	0	0	63040	26150	0.891362687	0.0
u	65.16823529	89.89642857	0.2	0.0	0.5	0.5	0.0	4	1	972	0	0	63040	26150	0.891362687	0.0
u	75.1425	75.1425	0.052631579	0.5	0.315789474	0.315789474	0.063245553	4	1	972	0	0	63040	26150	0.891362687	0.0
u	78.755	78.755	0.018867925	0.0	0.358490566	0.358490566	0.137153961	0	0	972	0	0	63040	26150	0.822905818	-1.0
u	90.95857143	100.0	0.684210526	1.0	0.421052632	0.421052632	0.0	0	0	5088	1	1	63024	26139	0.83653334	0.0
u	50.09875	74.27	0.617021277	0.0	0.340425532	0.382978723	0.341565026	0	0	5088	1	1	63024	26139	0.0	0.0
u	82.4755	92.43	0.071428571	1.0	0.607142857	0.607142857	0.0	0	0	5088	0	0	63024	26139	0.760204935	0.0
u	65.97975	65.73047297	0.024390244	0.0	0.329268293	0.353658537	0.12475272	1	1	3713	0	0	62992	26124	0.0	0.0
u	100.0	83.09903846	0.647058824	0.0	0.176470588	0.176470588	0.246446144	4	1	3713	1	8	62992	26124	0.0	0.0
u	88.36863636	88.36863636	0.041666667	0.0	0.5	0.5	0.184238882	0	0	363	0	0	62992	26124	0.0	0.0
u	100.0	100.0	0.615384615	0.0	0.307692308	0.307692308	0.154746115	1	1	3713	0	0	62992	26124	0.0	1.0
u	78.43882353	77.795	0.101694915	0.0	0.338983051	0.338983051	0.053637147	1	1	3713	0	0	62992	26124	0.0	0.0
u	92.215	97.51529412	0.075	0.0	0.575	0.575	0.058321184	0	0	363	0	0	62992	26124	0.0	0.0
u	89.99935897	89.99935897	0.018867925	0.5	0.452830189	0.452830189	0.016379451	1	1	3713	0	0	62992	26124	0.0	0.0
u	69.56013158	78.248	0.194444444	0.0	0.416666667	0.430555556	0.145432432	0	0	363	0	0	62992	26124	0.0	1.0
u	84.60210145	85.87671053	0.632653061	0.0	0.285714286	0.285714286	0.165782913	1	1	3713	0	0	62992	26124	0.0	0.0
u	88.36863636	88.36863636	0.041666667	0.0	0.5	0.5	0.184238882	0	0	363	0	0	62992	26124	0.0	0.0
u	61.89	64.92454545	0.3	0.0	0.55	0.55	0.077151675	0	0	363	0	0	62992	26124	0.0	0.0
